sample_id	sequence_length	dataset	k	n_top_k
0	54	EA_positive	1	21.85
0	54	EA_positive	5	39.50000000000001
0	54	EA_positive	10	47.000000000000014
0	54	EA_positive	20	52.000000000000014
1	41	positive	1	14.5
1	41	positive	5	24.0
1	41	positive	10	32.0
1	41	positive	20	37.0
2	72	EA_positive	1	31.0
2	72	EA_positive	5	50.5
2	72	EA_positive	10	58.0
2	72	EA_positive	20	69.0
3	47	EA_negative	1	22.80952380952381
3	47	EA_negative	5	37.29761904761905
3	47	EA_negative	10	42.00000000000001
3	47	EA_negative	20	45.00000000000001
4	41	positive	1	16.5
4	41	positive	5	24.0
4	41	positive	10	30.0
4	41	positive	20	37.0
5	68	EA_positive	1	28.0
5	68	EA_positive	5	51.5
5	68	EA_positive	10	60.0
5	68	EA_positive	20	66.0
6	47	EA_negative	1	23.0
6	47	EA_negative	5	40.5
6	47	EA_negative	10	42.0
6	47	EA_negative	20	45.0
7	54	EA_positive	1	19.75
7	54	EA_positive	5	37.5
7	54	EA_positive	10	42.0
7	54	EA_positive	20	52.0
8	47	EA_negative	1	23.0
8	47	EA_negative	5	39.5
8	47	EA_negative	10	45.0
8	47	EA_negative	20	47.00000000000001
9	70	EA_positive	1	32.5
9	70	EA_positive	5	52.5
9	70	EA_positive	10	58.0
9	70	EA_positive	20	67.0
10	55	EA_positive	1	22.25
10	55	EA_positive	5	39.0
10	55	EA_positive	10	43.0
10	55	EA_positive	20	51.0
11	51	EA_positive	1	28.25
11	51	EA_positive	5	40.0
11	51	EA_positive	10	46.0
11	51	EA_positive	20	50.0
12	47	EA_negative	1	19.5
12	47	EA_negative	5	40.5
12	47	EA_negative	10	44.00000000000001
12	47	EA_negative	20	47.000000000000014
13	53	EA_positive	1	17.0
13	53	EA_positive	5	36.5
13	53	EA_positive	10	42.0
13	53	EA_positive	20	50.0
14	74	EA_positive	1	24.75
14	74	EA_positive	5	55.25
14	74	EA_positive	10	61.0
14	74	EA_positive	20	72.0
15	73	EA_positive	1	30.75
15	73	EA_positive	5	53.0
15	73	EA_positive	10	62.0
15	73	EA_positive	20	68.0
16	53	EA_positive	1	19.75
16	53	EA_positive	5	40.5
16	53	EA_positive	10	45.0
16	53	EA_positive	20	50.0
17	25	negative	1	7.138888888888889
17	25	negative	5	18.36111111111111
17	25	negative	10	22.555555555555554
17	25	negative	20	24.00000000000001
18	63	EA_positive	1	25.666666666666664
18	63	EA_positive	5	46.58333333333332
18	63	EA_positive	10	50.999999999999986
18	63	EA_positive	20	57.999999999999986
19	47	EA_negative	1	21.642857142857142
19	47	EA_negative	5	36.214285714285715
19	47	EA_negative	10	43.00000000000001
19	47	EA_negative	20	46.00000000000001
20	25	negative	1	9.25
20	25	negative	5	20.583333333333336
20	25	negative	10	23.000000000000004
20	25	negative	20	24.00000000000001
21	72	EA_positive	1	31.916666666666668
21	72	EA_positive	5	55.83333333333333
21	72	EA_positive	10	61.99999999999999
21	72	EA_positive	20	67.0
22	41	positive	1	14.5
22	41	positive	5	26.0
22	41	positive	10	33.0
22	41	positive	20	39.0
23	65	EA_positive	1	29.75
23	65	EA_positive	5	46.5
23	65	EA_positive	10	56.0
23	65	EA_positive	20	63.0
24	25	negative	1	6.777777777777778
24	25	negative	5	20.22222222222222
24	25	negative	10	23.999999999999996
24	25	negative	20	23.999999999999996
25	66	EA_positive	1	26.0
25	66	EA_positive	5	49.5
25	66	EA_positive	10	58.0
25	66	EA_positive	20	61.0
26	62	EA_positive	1	30.0
26	62	EA_positive	5	47.5
26	62	EA_positive	10	52.0
26	62	EA_positive	20	59.0
27	41	positive	1	14.5
27	41	positive	5	25.0
27	41	positive	10	32.0
27	41	positive	20	38.0
28	41	positive	1	16.5
28	41	positive	5	26.0
28	41	positive	10	30.0
28	41	positive	20	37.0
29	71	EA_positive	1	28.5
29	71	EA_positive	5	56.0
29	71	EA_positive	10	63.0
29	71	EA_positive	20	68.0
30	54	EA_positive	1	20.5
30	54	EA_positive	5	39.0
30	54	EA_positive	10	49.0
30	54	EA_positive	20	53.0
31	47	EA_negative	1	20.0
31	47	EA_negative	5	36.5
31	47	EA_negative	10	42.0
31	47	EA_negative	20	44.0
32	41	positive	1	16.5
32	41	positive	5	24.0
32	41	positive	10	32.0
32	41	positive	20	37.0
33	60	EA_positive	1	25.25
33	60	EA_positive	5	46.0
33	60	EA_positive	10	53.0
33	60	EA_positive	20	57.0
34	41	positive	1	16.5
34	41	positive	5	25.0
34	41	positive	10	31.0
34	41	positive	20	36.0
35	60	EA_positive	1	26.5
35	60	EA_positive	5	45.5
35	60	EA_positive	10	52.0
35	60	EA_positive	20	59.0
36	47	EA_negative	1	25.0
36	47	EA_negative	5	38.550000000000004
36	47	EA_negative	10	43.000000000000014
36	47	EA_negative	20	47.00000000000002
37	72	EA_positive	1	35.0
37	72	EA_positive	5	57.75
37	72	EA_positive	10	61.0
37	72	EA_positive	20	69.0
38	41	positive	1	15.5
38	41	positive	5	25.0
38	41	positive	10	31.0
38	41	positive	20	37.0
39	41	positive	1	14.5
39	41	positive	5	24.0
39	41	positive	10	29.0
39	41	positive	20	38.0
40	54	EA_positive	1	22.5
40	54	EA_positive	5	39.75
40	54	EA_positive	10	46.0
40	54	EA_positive	20	51.0
41	25	negative	1	7.305555555555556
41	25	negative	5	20.36111111111111
41	25	negative	10	23.55555555555556
41	25	negative	20	24.000000000000018
42	55	EA_positive	1	18.5
42	55	EA_positive	5	40.0
42	55	EA_positive	10	48.0
42	55	EA_positive	20	51.0
43	58	EA_positive	1	28.25
43	58	EA_positive	5	44.5
43	58	EA_positive	10	51.0
43	58	EA_positive	20	54.0
44	47	EA_negative	1	23.833333333333332
44	47	EA_negative	5	39.5
44	47	EA_negative	10	43.0
44	47	EA_negative	20	47.00000000000001
45	66	EA_positive	1	30.5
45	66	EA_positive	5	53.5
45	66	EA_positive	10	57.0
45	66	EA_positive	20	62.0
46	56	EA_positive	1	28.0
46	56	EA_positive	5	39.5
46	56	EA_positive	10	44.0
46	56	EA_positive	20	52.0
47	41	positive	1	17.5
47	41	positive	5	26.0
47	41	positive	10	33.0
47	41	positive	20	38.0
