sample_id	sequence_length	dataset	k	n_top_k	tree_index
0	54	EA_positive	1	22.85	0
0	54	EA_positive	5	43.50000000000001	0
0	54	EA_positive	10	47.000000000000014	0
0	54	EA_positive	20	52.000000000000014	0
0	54	EA_positive	1	26.75	1
0	54	EA_positive	5	45.0	1
0	54	EA_positive	10	48.0	1
0	54	EA_positive	20	53.0	1
0	54	EA_positive	1	24.75	2
0	54	EA_positive	5	41.75	2
0	54	EA_positive	10	47.0	2
0	54	EA_positive	20	53.0	2
0	54	EA_positive	1	22.75	3
0	54	EA_positive	5	45.0	3
0	54	EA_positive	10	47.0	3
0	54	EA_positive	20	51.0	3
0	54	EA_positive	1	25.75	4
0	54	EA_positive	5	42.0	4
0	54	EA_positive	10	45.0	4
0	54	EA_positive	20	52.0	4
0	54	EA_positive	1	24.75	5
0	54	EA_positive	5	40.0	5
0	54	EA_positive	10	44.0	5
0	54	EA_positive	20	51.0	5
0	54	EA_positive	1	26.75	6
0	54	EA_positive	5	42.0	6
0	54	EA_positive	10	48.0	6
0	54	EA_positive	20	51.0	6
0	54	EA_positive	1	24.25	7
0	54	EA_positive	5	41.0	7
0	54	EA_positive	10	46.0	7
0	54	EA_positive	20	51.0	7
0	54	EA_positive	1	23.25	8
0	54	EA_positive	5	45.0	8
0	54	EA_positive	10	48.0	8
0	54	EA_positive	20	52.0	8
0	54	EA_positive	1	26.25	9
0	54	EA_positive	5	45.0	9
0	54	EA_positive	10	48.0	9
0	54	EA_positive	20	52.0	9
0	54	EA_positive	1	22.75	10
0	54	EA_positive	5	43.0	10
0	54	EA_positive	10	47.0	10
0	54	EA_positive	20	52.0	10
0	54	EA_positive	1	26.85	11
0	54	EA_positive	5	43.50000000000001	11
0	54	EA_positive	10	47.000000000000014	11
0	54	EA_positive	20	53.000000000000014	11
0	54	EA_positive	1	21.75	12
0	54	EA_positive	5	44.0	12
0	54	EA_positive	10	46.0	12
0	54	EA_positive	20	50.0	12
0	54	EA_positive	1	23.75	13
0	54	EA_positive	5	42.44444444444444	13
0	54	EA_positive	10	46.000000000000014	13
0	54	EA_positive	20	52.000000000000014	13
0	54	EA_positive	1	25.75	14
0	54	EA_positive	5	42.75	14
0	54	EA_positive	10	47.0	14
0	54	EA_positive	20	53.0	14
0	54	EA_positive	1	24.75	15
0	54	EA_positive	5	41.0	15
0	54	EA_positive	10	47.0	15
0	54	EA_positive	20	51.0	15
0	54	EA_positive	1	24.85	16
