sample_id	sequence_length	dataset	k	n_top_k
0	54	EA_positive	1	25.0
0	54	EA_positive	5	37.0
0	54	EA_positive	10	45.0
0	54	EA_positive	20	51.0
1	41	positive	1	17.0
1	41	positive	5	26.0
1	41	positive	10	34.0
1	41	positive	20	40.0
2	72	EA_positive	1	29.0
2	72	EA_positive	5	49.0
2	72	EA_positive	10	60.0
2	72	EA_positive	20	64.0
3	47	EA_negative	1	22.0
3	47	EA_negative	5	32.0
3	47	EA_negative	10	35.0
3	47	EA_negative	20	38.0
4	41	positive	1	14.0
4	41	positive	5	27.0
4	41	positive	10	32.0
4	41	positive	20	37.0
5	68	EA_positive	1	27.0
5	68	EA_positive	5	45.0
5	68	EA_positive	10	53.0
5	68	EA_positive	20	61.0
6	47	EA_negative	1	22.0
6	47	EA_negative	5	31.0
6	47	EA_negative	10	36.0
6	47	EA_negative	20	40.0
7	54	EA_positive	1	21.0
7	54	EA_positive	5	38.0
7	54	EA_positive	10	45.0
7	54	EA_positive	20	49.0
8	47	EA_negative	1	23.0
8	47	EA_negative	5	33.0
8	47	EA_negative	10	35.0
8	47	EA_negative	20	39.0
9	70	EA_positive	1	36.0
9	70	EA_positive	5	53.0
9	70	EA_positive	10	57.0
9	70	EA_positive	20	61.0
10	55	EA_positive	1	23.0
10	55	EA_positive	5	35.0
10	55	EA_positive	10	44.0
10	55	EA_positive	20	50.0
11	51	EA_positive	1	23.0
11	51	EA_positive	5	33.0
11	51	EA_positive	10	40.0
11	51	EA_positive	20	46.0
12	47	EA_negative	1	17.0
12	47	EA_negative	5	31.0
12	47	EA_negative	10	37.0
12	47	EA_negative	20	39.0
13	53	EA_positive	1	22.0
13	53	EA_positive	5	33.0
13	53	EA_positive	10	41.0
13	53	EA_positive	20	46.0
14	74	EA_positive	1	26.0
14	74	EA_positive	5	48.0
14	74	EA_positive	10	57.0
14	74	EA_positive	20	63.0
15	73	EA_positive	1	33.0
15	73	EA_positive	5	53.0
15	73	EA_positive	10	58.0
15	73	EA_positive	20	66.0
16	53	EA_positive	1	22.0
16	53	EA_positive	5	34.0
16	53	EA_positive	10	42.0
16	53	EA_positive	20	46.0
17	25	negative	1	8.0
17	25	negative	5	12.0
17	25	negative	10	14.0
17	25	negative	20	22.0
18	63	EA_positive	1	29.0
18	63	EA_positive	5	40.0
18	63	EA_positive	10	51.0
18	63	EA_positive	20	54.0
19	47	EA_negative	1	19.0
19	47	EA_negative	5	29.0
19	47	EA_negative	10	35.0
19	47	EA_negative	20	40.0
20	25	negative	1	7.0
20	25	negative	5	10.0
20	25	negative	10	11.0
20	25	negative	20	22.0
21	72	EA_positive	1	35.0
21	72	EA_positive	5	47.0
21	72	EA_positive	10	57.0
21	72	EA_positive	20	62.0
22	41	positive	1	17.0
22	41	positive	5	26.0
22	41	positive	10	34.0
22	41	positive	20	38.0
23	65	EA_positive	1	25.0
23	65	EA_positive	5	40.0
23	65	EA_positive	10	54.0
23	65	EA_positive	20	58.0
24	25	negative	1	6.0
24	25	negative	5	12.0
24	25	negative	10	14.0
24	25	negative	20	22.0
25	66	EA_positive	1	27.0
25	66	EA_positive	5	39.0
25	66	EA_positive	10	49.0
25	66	EA_positive	20	54.0
26	62	EA_positive	1	28.0
26	62	EA_positive	5	44.0
26	62	EA_positive	10	49.0
26	62	EA_positive	20	54.0
27	41	positive	1	16.0
27	41	positive	5	27.0
27	41	positive	10	31.0
27	41	positive	20	36.0
28	41	positive	1	14.0
28	41	positive	5	26.0
28	41	positive	10	32.0
28	41	positive	20	37.0
29	71	EA_positive	1	31.0
29	71	EA_positive	5	51.0
29	71	EA_positive	10	58.0
29	71	EA_positive	20	62.0
30	54	EA_positive	1	25.0
30	54	EA_positive	5	36.0
30	54	EA_positive	10	41.0
30	54	EA_positive	20	47.0
31	47	EA_negative	1	20.0
31	47	EA_negative	5	32.0
31	47	EA_negative	10	37.0
31	47	EA_negative	20	39.0
32	41	positive	1	17.0
32	41	positive	5	26.0
32	41	positive	10	30.0
32	41	positive	20	36.0
33	60	EA_positive	1	24.0
33	60	EA_positive	5	33.0
33	60	EA_positive	10	47.0
33	60	EA_positive	20	52.0
34	41	positive	1	16.0
34	41	positive	5	25.0
34	41	positive	10	33.0
34	41	positive	20	37.0
35	60	EA_positive	1	20.0
35	60	EA_positive	5	40.0
35	60	EA_positive	10	48.0
35	60	EA_positive	20	54.0
36	47	EA_negative	1	18.0
36	47	EA_negative	5	28.0
36	47	EA_negative	10	34.0
36	47	EA_negative	20	40.0
37	72	EA_positive	1	32.0
37	72	EA_positive	5	49.0
37	72	EA_positive	10	59.0
37	72	EA_positive	20	66.0
38	41	positive	1	13.0
38	41	positive	5	25.0
38	41	positive	10	30.0
38	41	positive	20	36.0
39	41	positive	1	13.0
39	41	positive	5	24.0
39	41	positive	10	31.0
39	41	positive	20	38.0
40	54	EA_positive	1	28.0
40	54	EA_positive	5	35.0
40	54	EA_positive	10	41.0
40	54	EA_positive	20	44.0
41	25	negative	1	6.0
41	25	negative	5	11.0
41	25	negative	10	14.0
41	25	negative	20	23.0
42	55	EA_positive	1	22.0
42	55	EA_positive	5	35.0
42	55	EA_positive	10	45.0
42	55	EA_positive	20	47.0
43	58	EA_positive	1	23.0
43	58	EA_positive	5	39.0
43	58	EA_positive	10	47.0
43	58	EA_positive	20	50.0
44	47	EA_negative	1	19.0
44	47	EA_negative	5	29.0
44	47	EA_negative	10	36.0
44	47	EA_negative	20	41.0
45	66	EA_positive	1	27.0
45	66	EA_positive	5	43.0
45	66	EA_positive	10	55.0
45	66	EA_positive	20	60.0
46	56	EA_positive	1	25.0
46	56	EA_positive	5	40.0
46	56	EA_positive	10	43.0
46	56	EA_positive	20	47.0
47	41	positive	1	16.0
47	41	positive	5	26.0
47	41	positive	10	32.0
47	41	positive	20	39.0
