sample_id	sequence_length	dataset	k	n_top_k
0	54	EA_positive	1	23.75
0	54	EA_positive	5	42.0
0	54	EA_positive	10	47.0
0	54	EA_positive	20	51.0
1	41	positive	1	20.0
1	41	positive	5	25.0
1	41	positive	10	31.0
1	41	positive	20	37.0
2	72	EA_positive	1	35.5
2	72	EA_positive	5	57.5
2	72	EA_positive	10	63.0
2	72	EA_positive	20	66.0
3	47	EA_negative	1	20.0
3	47	EA_negative	5	39.5
3	47	EA_negative	10	44.0
3	47	EA_negative	20	46.00000000000001
4	41	positive	1	18.0
4	41	positive	5	25.0
4	41	positive	10	31.0
4	41	positive	20	37.0
5	68	EA_positive	1	34.0
5	68	EA_positive	5	54.5
5	68	EA_positive	10	63.0
5	68	EA_positive	20	65.0
6	47	EA_negative	1	20.0
6	47	EA_negative	5	39.5
6	47	EA_negative	10	44.0
6	47	EA_negative	20	46.00000000000001
7	54	EA_positive	1	20.75
7	54	EA_positive	5	43.5
7	54	EA_positive	10	46.0
7	54	EA_positive	20	48.0
8	47	EA_negative	1	21.0
8	47	EA_negative	5	38.5
8	47	EA_negative	10	44.0
8	47	EA_negative	20	46.00000000000001
9	70	EA_positive	1	30.0
9	70	EA_positive	5	58.0
9	70	EA_positive	10	64.0
9	70	EA_positive	20	68.0
10	55	EA_positive	1	26.25
10	55	EA_positive	5	41.5
10	55	EA_positive	10	48.0
10	55	EA_positive	20	52.0
11	51	EA_positive	1	22.25
11	51	EA_positive	5	44.5
11	51	EA_positive	10	48.0
11	51	EA_positive	20	50.0
12	47	EA_negative	1	20.0
12	47	EA_negative	5	39.5
12	47	EA_negative	10	44.0
12	47	EA_negative	20	46.00000000000001
13	53	EA_positive	1	21.0
13	53	EA_positive	5	42.5
13	53	EA_positive	10	46.0
13	53	EA_positive	20	50.0
14	74	EA_positive	1	29.75
14	74	EA_positive	5	58.5
14	74	EA_positive	10	65.0
14	74	EA_positive	20	71.0
15	73	EA_positive	1	28.75
15	73	EA_positive	5	59.0
15	73	EA_positive	10	63.0
15	73	EA_positive	20	68.0
16	53	EA_positive	1	22.75
16	53	EA_positive	5	44.0
16	53	EA_positive	10	50.0
16	53	EA_positive	20	53.0
17	25	negative	1	6.833333333333333
17	25	negative	5	20.166666666666668
17	25	negative	10	24.0
17	25	negative	20	24.0
18	63	EA_positive	1	26.5
18	63	EA_positive	5	50.5
18	63	EA_positive	10	54.0
18	63	EA_positive	20	58.0
19	47	EA_negative	1	20.0
19	47	EA_negative	5	38.5
19	47	EA_negative	10	44.0
19	47	EA_negative	20	46.00000000000001
20	25	negative	1	7.916666666666667
20	25	negative	5	18.916666666666668
20	25	negative	10	24.000000000000004
20	25	negative	20	24.000000000000004
21	72	EA_positive	1	33.75
21	72	EA_positive	5	60.5
21	72	EA_positive	10	65.0
21	72	EA_positive	20	67.0
22	41	positive	1	18.0
22	41	positive	5	25.0
22	41	positive	10	31.0
22	41	positive	20	37.0
23	65	EA_positive	1	27.75
23	65	EA_positive	5	50.5
23	65	EA_positive	10	58.0
23	65	EA_positive	20	63.0
24	25	negative	1	6.916666666666667
24	25	negative	5	19.916666666666664
24	25	negative	10	24.0
24	25	negative	20	24.0
25	66	EA_positive	1	25.0
25	66	EA_positive	5	52.0
25	66	EA_positive	10	60.0
25	66	EA_positive	20	62.0
26	62	EA_positive	1	34.5
26	62	EA_positive	5	51.5
26	62	EA_positive	10	55.0
26	62	EA_positive	20	58.0
27	41	positive	1	17.0
27	41	positive	5	25.0
27	41	positive	10	31.0
27	41	positive	20	37.0
28	41	positive	1	19.0
28	41	positive	5	25.0
28	41	positive	10	31.0
28	41	positive	20	37.0
29	71	EA_positive	1	36.5
29	71	EA_positive	5	61.0
29	71	EA_positive	10	68.0
29	71	EA_positive	20	70.0
30	54	EA_positive	1	23.5
30	54	EA_positive	5	43.0
30	54	EA_positive	10	47.0
30	54	EA_positive	20	51.0
31	47	EA_negative	1	20.0
31	47	EA_negative	5	39.5
31	47	EA_negative	10	43.0
31	47	EA_negative	20	46.00000000000001
32	41	positive	1	18.0
32	41	positive	5	25.0
32	41	positive	10	31.0
32	41	positive	20	37.0
33	60	EA_positive	1	29.25
33	60	EA_positive	5	53.5
33	60	EA_positive	10	56.0
33	60	EA_positive	20	59.0
34	41	positive	1	18.0
34	41	positive	5	25.0
34	41	positive	10	31.0
34	41	positive	20	37.0
35	60	EA_positive	1	28.5
35	60	EA_positive	5	47.5
35	60	EA_positive	10	55.0
35	60	EA_positive	20	58.0
36	47	EA_negative	1	20.0
36	47	EA_negative	5	38.5
36	47	EA_negative	10	44.0
36	47	EA_negative	20	45.0
37	72	EA_positive	1	36.75
37	72	EA_positive	5	62.0
37	72	EA_positive	10	65.0
37	72	EA_positive	20	69.0
38	41	positive	1	17.0
38	41	positive	5	25.0
38	41	positive	10	31.0
38	41	positive	20	37.0
39	41	positive	1	20.0
39	41	positive	5	25.0
39	41	positive	10	31.0
39	41	positive	20	37.0
40	54	EA_positive	1	21.75
40	54	EA_positive	5	42.0
40	54	EA_positive	10	47.0
40	54	EA_positive	20	50.0
41	25	negative	1	7.75
41	25	negative	5	19.083333333333336
41	25	negative	10	23.000000000000007
41	25	negative	20	24.000000000000014
42	55	EA_positive	1	22.5
42	55	EA_positive	5	47.0
42	55	EA_positive	10	49.0
