sample_id	sequence_length	dataset	k	n_top_k
0	54	EA_positive	1	24.75
0	54	EA_positive	5	40.0
0	54	EA_positive	10	50.0
0	54	EA_positive	20	52.0
1	41	positive	1	18.0
1	41	positive	5	24.0
1	41	positive	10	30.0
1	41	positive	20	38.0
2	72	EA_positive	1	39.0
2	72	EA_positive	5	55.0
2	72	EA_positive	10	65.0
2	72	EA_positive	20	68.0
3	47	EA_negative	1	19.0
3	47	EA_negative	5	38.5
3	47	EA_negative	10	43.0
3	47	EA_negative	20	45.0
4	41	positive	1	16.0
4	41	positive	5	23.0
4	41	positive	10	32.0
4	41	positive	20	36.0
5	68	EA_positive	1	33.0
5	68	EA_positive	5	51.0
5	68	EA_positive	10	60.0
5	68	EA_positive	20	67.0
6	47	EA_negative	1	22.5
6	47	EA_negative	5	39.5
6	47	EA_negative	10	43.0
6	47	EA_negative	20	45.00000000000001
7	54	EA_positive	1	23.75
7	54	EA_positive	5	39.5
7	54	EA_positive	10	44.0
7	54	EA_positive	20	50.0
8	47	EA_negative	1	23.5
8	47	EA_negative	5	40.5
8	47	EA_negative	10	43.0
8	47	EA_negative	20	45.0
9	70	EA_positive	1	33.0
9	70	EA_positive	5	56.0
9	70	EA_positive	10	63.0
9	70	EA_positive	20	64.0
10	55	EA_positive	1	26.25
10	55	EA_positive	5	42.0
10	55	EA_positive	10	48.0
10	55	EA_positive	20	51.0
11	51	EA_positive	1	25.25
11	51	EA_positive	5	44.5
11	51	EA_positive	10	47.0
11	51	EA_positive	20	49.0
12	47	EA_negative	1	21.0
12	47	EA_negative	5	42.5
12	47	EA_negative	10	43.0
12	47	EA_negative	20	45.0
13	53	EA_positive	1	23.0
13	53	EA_positive	5	40.5
13	53	EA_positive	10	46.0
13	53	EA_positive	20	51.0
14	74	EA_positive	1	31.25
14	74	EA_positive	5	57.0
14	74	EA_positive	10	67.0
14	74	EA_positive	20	72.0
15	73	EA_positive	1	27.75
15	73	EA_positive	5	54.0
15	73	EA_positive	10	58.0
15	73	EA_positive	20	66.0
16	53	EA_positive	1	23.25
16	53	EA_positive	5	43.5
16	53	EA_positive	10	50.0
16	53	EA_positive	20	51.0
17	25	negative	1	6.000000000000001
17	25	negative	5	17.083333333333332
17	25	negative	10	23.0
17	25	negative	20	24.000000000000007
18	63	EA_positive	1	30.0
18	63	EA_positive	5	46.0
18	63	EA_positive	10	52.0
18	63	EA_positive	20	58.0
19	47	EA_negative	1	20.0
19	47	EA_negative	5	40.5
19	47	EA_negative	10	43.0
19	47	EA_negative	20	45.0
20	25	negative	1	7.25
20	25	negative	5	18.916666666666664
20	25	negative	10	23.0
20	25	negative	20	24.0
21	72	EA_positive	1	30.75
21	72	EA_positive	5	55.5
21	72	EA_positive	10	62.0
21	72	EA_positive	20	66.0
22	41	positive	1	18.0
22	41	positive	5	24.0
22	41	positive	10	32.0
22	41	positive	20	37.0
23	65	EA_positive	1	26.75
23	65	EA_positive	5	48.5
23	65	EA_positive	10	57.0
23	65	EA_positive	20	61.0
24	25	negative	1	6.0
24	25	negative	5	16.833333333333332
24	25	negative	10	23.0
24	25	negative	20	24.000000000000007
25	66	EA_positive	1	23.0
25	66	EA_positive	5	47.5
25	66	EA_positive	10	59.0
25	66	EA_positive	20	62.0
26	62	EA_positive	1	32.5
26	62	EA_positive	5	47.5
26	62	EA_positive	10	53.0
26	62	EA_positive	20	58.0
27	41	positive	1	19.0
27	41	positive	5	25.0
27	41	positive	10	32.0
27	41	positive	20	37.0
28	41	positive	1	16.0
28	41	positive	5	27.0
28	41	positive	10	33.0
28	41	positive	20	37.0
29	71	EA_positive	1	31.5
29	71	EA_positive	5	56.5
29	71	EA_positive	10	64.0
29	71	EA_positive	20	67.0
30	54	EA_positive	1	24.5
30	54	EA_positive	5	41.0
30	54	EA_positive	10	48.0
30	54	EA_positive	20	54.0
31	47	EA_negative	1	21.0
31	47	EA_negative	5	41.5
31	47	EA_negative	10	43.0
31	47	EA_negative	20	45.0
32	41	positive	1	18.0
32	41	positive	5	23.0
32	41	positive	10	31.0
32	41	positive	20	37.0
33	60	EA_positive	1	26.25
33	60	EA_positive	5	48.0
33	60	EA_positive	10	53.0
33	60	EA_positive	20	56.0
34	41	positive	1	18.0
34	41	positive	5	24.0
34	41	positive	10	30.0
34	41	positive	20	36.0
35	60	EA_positive	1	27.5
35	60	EA_positive	5	47.5
35	60	EA_positive	10	53.0
35	60	EA_positive	20	57.0
36	47	EA_negative	1	22.0
36	47	EA_negative	5	40.5
36	47	EA_negative	10	43.0
36	47	EA_negative	20	46.00000000000001
37	72	EA_positive	1	37.5
37	72	EA_positive	5	57.5
37	72	EA_positive	10	67.0
37	72	EA_positive	20	68.0
38	41	positive	1	18.0
38	41	positive	5	25.0
38	41	positive	10	29.0
38	41	positive	20	38.0
39	41	positive	1	18.0
39	41	positive	5	26.0
39	41	positive	10	32.0
39	41	positive	20	38.0
40	54	EA_positive	1	23.75
40	54	EA_positive	5	40.5
40	54	EA_positive	10	46.0
40	54	EA_positive	20	49.0
41	25	negative	1	6.833333333333334
41	25	negative	5	18.583333333333336
41	25	negative	10	24.000000000000004
41	25	negative	20	24.000000000000004
42	55	EA_positive	1	18.5
42	55	EA_positive	5	40.0
42	55	EA_positive	10	48.0
42	55	EA_positive	20	52.0
43	58	EA_positive	1	27.75
43	58	EA_positive	5	45.5
43	58	EA_positive	10	49.0
43	58	EA_positive	20	53.0
44	47	EA_negative	1	21.0
44	47	EA_negative	5	39.5
44	47	EA_negative	10	41.0
44	47	EA_negative	20	45.0
45	66	EA_positive	1	28.5
45	66	EA_positive	5	51.0
45	66	EA_positive	10	58.0
45	66	EA_positive	20	62.0
46	56	EA_positive	1	24.5
46	56	EA_positive	5	40.0
46	56	EA_positive	10	49.0
46	56	EA_positive	20	53.0
47	41	positive	1	20.0
47	41	positive	5	25.0
47	41	positive	10	31.0
47	41	positive	20	36.0
