pre_calc_label_losses|pre_calc_L_Ci_S_matrices|pre_calc_L_Ci_matrices|pre_calc_L_matrices|Time (s)|Time (s)
||||median|amin
False|False|False|False|148.42|147.56
False|False|False|True|147.15|146.97
False|False|True|False|109.31|108.68
False|False|True|True|109.44|109.39
False|True|False|False|82.12|81.02
False|True|False|True|82.44|81.37
False|True|True|False|42.72|42.54
False|True|True|True|42.62|42.57
True|False|False|False|138.93|137.65
True|False|False|True|137.62|137.13
True|False|True|False|100.29|98.48
True|False|True|True|99.2|98.24
True|True|False|False|70.09|69.4
True|True|False|True|69.09|68.78
True|True|True|False|29.81|29.79
True|True|True|True|29.22|27.65
