C	inner_split	ndcg_ohc
1	0	0.7071858889887983
1	1	0.7188717330894561
1	2	0.7269558358782339
4	0	0.7093802791120897
4	1	0.7135168926997166
4	2	0.738414901073202
16	0	0.71119961438937
16	1	0.7280046060824751
16	2	0.7310855283702578
32	0	0.7065125613717606
32	1	0.7225859390955693
32	2	0.7335710463093258
64	0	0.6905073519979068
64	1	0.7111953851375656
64	2	0.7291872537808588
128	0	0.6803648274567525
128	1	0.7009335823540676
128	2	0.7233948248384127
256	0	0.633722527591028
256	1	0.6718128048860587
256	2	0.6926887126781379
