k	top_acc_perc
1	12.0
2	22.666666666666664
3	34.66666666666667
4	41.333333333333336
5	41.333333333333336
6	46.666666666666664
7	50.66666666666667
8	50.66666666666667
9	54.666666666666664
10	54.666666666666664
11	57.333333333333336
12	57.333333333333336
13	58.666666666666664
14	60.0
15	60.0
16	60.0
17	60.0
18	62.66666666666667
19	64.0
20	65.33333333333333
21	65.33333333333333
22	65.33333333333333
23	66.66666666666666
24	68.0
25	68.0
26	69.33333333333334
27	69.33333333333334
28	69.33333333333334
29	69.33333333333334
30	69.33333333333334
31	70.66666666666667
32	72.0
33	72.0
34	72.0
35	72.0
36	72.0
37	72.0
38	72.0
39	72.0
40	72.0
41	72.0
42	72.0
43	72.0
44	72.0
45	72.0
46	73.33333333333333
47	73.33333333333333
48	73.33333333333333
49	73.33333333333333
50	73.33333333333333
