C	inner_split	ndcg_ohc
1	0	0.732563218900964
1	1	0.698308444326393
1	2	0.6668448782613862
4	0	0.7420273109653595
4	1	0.7055992025984973
4	2	0.6762036631098856
16	0	0.7498749383513376
16	1	0.699200412988172
16	2	0.6707685550102288
32	0	0.7371650156864912
32	1	0.6918054840851208
32	2	0.6735044639735692
64	0	0.7271094392356023
64	1	0.6774193946612096
64	2	0.6740599586558086
128	0	0.716478473612238
128	1	0.6662186100394684
128	2	0.6713895803995006
256	0	0.6699989411572772
256	1	0.6147964175810293
256	2	0.6615278713195025
