C	inner_split	ndcg_ohc
1	0	0.7267225639954479
1	1	0.7040747283859774
1	2	0.7215535755109833
4	0	0.7300960309689298
4	1	0.7092632469913881
4	2	0.7219851512343596
16	0	0.7156638131287377
16	1	0.6921473987843474
16	2	0.7252633262667285
32	0	0.718270370388807
32	1	0.6762919530073621
32	2	0.7291135711791378
64	0	0.7031162820760118
64	1	0.6611317734953823
64	2	0.7210462803131142
128	0	0.7007576703515612
128	1	0.6435201146235391
128	2	0.6951912639075633
256	0	0.653332341063115
256	1	0.6046982216860023
256	2	0.6719561612502442
