k	top_acc_perc__casmi	top_acc_perc__csi
1	22.0	23.25
2	36.0	36.833333333333336
3	46.0	45.91666666666667
4	51.0	52.0
5	55.00000000000001	55.2
6	59.0	59.400000000000006
7	61.0	60.60000000000002
8	63.0	63.133333333333354
9	64.0	63.86666666666668
10	65.0	65.40000000000002
11	68.0	67.60000000000002
12	69.0	68.80000000000003
13	70.0	70.00000000000003
14	70.0	70.00000000000003
15	70.0	70.00000000000003
16	70.0	70.00000000000003
17	72.0	72.00000000000003
18	72.0	72.00000000000003
19	72.0	72.00000000000003
20	72.0	72.00000000000003
21	73.0	73.83333333333336
22	76.0	75.66666666666669
23	76.0	76.00000000000001
24	77.0	77.00000000000001
25	77.0	77.00000000000001
26	77.0	77.00000000000001
27	79.0	79.00000000000001
28	80.0	80.00000000000001
29	80.0	80.00000000000001
30	80.0	80.00000000000001
31	80.0	80.00000000000001
32	80.0	80.00000000000001
33	80.0	80.00000000000001
34	82.0	82.00000000000001
35	83.0	83.00000000000001
36	83.0	83.00000000000001
37	84.0	84.00000000000001
38	85.0	85.00000000000001
39	85.0	85.00000000000001
40	85.0	85.00000000000001
41	85.0	85.00000000000001
42	85.0	85.00000000000001
43	85.0	85.00000000000001
44	85.0	85.00000000000001
45	85.0	85.00000000000001
46	85.0	85.00000000000001
47	85.0	85.00000000000001
48	85.0	85.00000000000001
49	85.0	85.00000000000001
50	86.0	86.00000000000001
