k	top_acc_perc__casmi	top_acc_perc__csi
1	28.999999999999996	30.333333333333336
2	47.0	48.0
3	55.00000000000001	55.666666666666664
4	60.0	60.5
5	62.0	62.0
6	67.0	68.0
7	72.0	72.0
8	74.0	74.0
9	75.0	75.0
10	77.0	77.0
11	78.0	78.0
12	80.0	80.0
13	80.0	80.0
14	80.0	80.0
15	80.0	80.0
16	80.0	80.5
17	81.0	81.0
18	81.0	81.0
19	81.0	81.0
20	81.0	81.0
21	81.0	81.0
22	81.0	81.0
23	81.0	81.0
24	81.0	81.0
25	81.0	81.0
26	81.0	81.0
27	81.0	81.0
28	82.0	82.0
29	83.0	83.33333333333333
30	84.0	83.66666666666666
31	86.0	85.99999999999999
32	87.0	86.99999999999999
33	87.0	86.99999999999999
34	87.0	86.99999999999999
35	87.0	86.99999999999999
36	87.0	86.99999999999999
37	87.0	86.99999999999999
38	87.0	86.99999999999999
39	88.0	87.99999999999999
40	89.0	88.99999999999999
41	89.0	88.99999999999999
42	89.0	88.99999999999999
43	89.0	88.99999999999999
44	89.0	89.33333333333331
45	90.0	89.66666666666664
46	90.0	89.99999999999997
47	90.0	89.99999999999997
48	90.0	89.99999999999997
49	91.0	90.99999999999997
50	91.0	90.99999999999997
