k	top_acc_perc__casmi	top_acc_perc__csi
1	14.000000000000002	16.88888888888889
2	22.0	27.111111111111107
3	32.0	33.666666666666664
4	42.0	41.55555555555555
5	44.0	43.11111111111111
6	46.0	44.666666666666664
7	48.0	50.55555555555556
8	60.0	61.62626262626263
9	66.0	65.54545454545455
10	66.0	67.57575757575758
11	70.0	70.60606060606061
12	70.0	71.63636363636364
13	72.0	72.0
14	74.0	72.36363636363636
15	76.0	74.92727272727272
16	78.0	77.49090909090908
17	78.0	78.05454545454545
18	78.0	78.61818181818181
19	78.0	79.24999999999999
20	80.0	79.69999999999999
21	80.0	80.14999999999999
22	80.0	80.6
23	82.0	81.05
24	82.0	81.5
25	82.0	81.75
26	82.0	82.0
27	82.0	82.0
28	82.0	82.0
29	82.0	82.0
30	82.0	82.0
31	82.0	82.0
32	82.0	82.0
33	82.0	82.0
34	82.0	82.0
35	82.0	82.0
36	82.0	82.5
37	82.0	83.0
38	84.0	84.5
39	86.0	87.0
40	88.0	88.0
41	88.0	88.0
42	88.0	88.0
43	88.0	88.0
44	88.0	88.0
45	88.0	88.0
46	88.0	88.0
47	88.0	88.0
48	88.0	88.0
49	88.0	88.0
50	88.0	88.0
