spectrum	rt	pref_value
Challenge-055	1.964	-0.1868814169090065
Challenge-035	2.371	-0.37392233986738166
Challenge-048	2.379	-0.0025464300687723096
Challenge-066	5.838	-0.006258719184162875
Challenge-002	5.946	-0.04841029465613644
Challenge-032	5.97	-0.06594991354144497
Challenge-003	6.954	-0.28838657118149236
Challenge-065	7.247	-0.08854888887826196
Challenge-079	7.348	-0.1857422108143879
Challenge-051	7.644	-0.011475594146238777
Challenge-052	7.722	-0.25725045631153254
Challenge-042	7.75	-0.16540715219651725
Challenge-049	8.138	-0.031800881241660583
Challenge-077	8.138	-0.1479292436155517
Challenge-007	8.186	0.07192816243268307
Challenge-053	8.189	-0.19312863542270486
Challenge-071	8.487	0.030849814461704428
Challenge-054	8.72	-0.29813576807475073
Challenge-019	8.93	-0.029070336583526313
Challenge-074	9.968	-0.06546310852966997
Challenge-028	10.136	0.006671338394574677
Challenge-047	10.262	0.1321088837427391
Challenge-014	10.353	0.0724128476370943
Challenge-067	10.562	0.15960783995936012
Challenge-080	10.665	-0.17780759511237854
Challenge-076	10.718	0.05993545219716562
Challenge-008	10.829	-0.10482283090484845
Challenge-043	10.874	0.019786742394502066
Challenge-037	11.08	0.06228944332659747
Challenge-020	11.088	0.06889067069142385
Challenge-050	11.207	0.14795918472633907
Challenge-018	11.262	-0.07917760101618421
Challenge-021	11.263	-0.07438887959425733
Challenge-044	11.605	0.10196582414338584
Challenge-062	11.651	-0.07403404538655023
Challenge-013	11.84	-0.020350267502665442
Challenge-016	12.064	0.09134943671061038
Challenge-045	12.129	0.13349176476873958
Challenge-010	12.225	0.07431761128566583
Challenge-069	12.301	-0.05537038012397133
Challenge-039	12.512	-0.10229606861578236
Challenge-009	12.689	0.07546857800718487
Challenge-004	12.826	0.2506778185525773
Challenge-023	13.097	0.07452895578487795
Challenge-041	13.298	0.05771008342775863
Challenge-012	14.172	0.054222777332348926
Challenge-060	14.355	-0.026346796349177026
Challenge-058	14.383	-0.026346796349177026
Challenge-026	14.973	-0.08647911144013953
Challenge-015	16.603	0.31227772589338443
