k	top_acc_perc__casmi	top_acc_perc__csi
1	6.0	11.022072310405644
2	20.0	22.710811287477952
3	24.0	27.399550264550264
4	28.000000000000004	31.42162257495591
5	40.0	38.35395129561796
6	42.0	41.619613349613346
7	42.0	44.41860873694207
8	44.0	47.331889838556506
9	48.0	49.47594017094017
10	50.0	51.15332383665717
11	50.0	52.830707502374175
12	52.0	54.174757834757834
13	52.0	55.11880816714151
14	52.0	56.062858499525184
15	56.00000000000001	57.006908831908845
16	60.0	60.45095916429252
17	60.0	62.23667616334284
18	66.0	64.02239316239317
19	66.0	66.55811016144351
20	66.0	67.72716049382717
21	68.0	69.39621082621083
22	70.0	70.91141500474835
23	74.0	72.59328584995252
24	76.0	74.2751566951567
25	76.0	75.45702754036087
26	76.0	75.97223171889839
27	76.0	76.2374358974359
28	76.0	77.50264007597342
29	78.0	78.76784425451093
30	78.0	79.03304843304845
31	78.0	79.15466286799622
32	78.0	79.94294396961065
33	80.0	80.73122507122508
34	80.0	81.51950617283951
35	80.0	82.23086419753088
36	82.0	83.44222222222224
37	84.0	86.6535802469136
38	86.0	87.1982716049383
39	86.0	87.74296296296299
40	86.0	88.78765432098768
41	90.0	89.83234567901238
42	90.0	89.87703703703707
43	90.0	89.92172839506176
44	90.0	89.96641975308646
45	90.0	90.01111111111115
46	90.0	90.05580246913584
47	90.0	90.10049382716053
48	90.0	90.21415070242661
49	90.0	90.99447424435934
50	92.0	91.77479778629207
