k	top_acc_perc__casmi	top_acc_perc__csi
1	12.0	13.722222222222221
2	20.0	21.944444444444443
3	30.0	33.33333333333333
4	38.0	39.05555555555555
5	44.0	42.27777777777777
6	48.0	48.33333333333333
7	50.0	49.55555555555555
8	52.0	51.11111111111111
9	52.0	53.18181818181817
10	52.0	55.03030303030303
11	56.00000000000001	57.87878787878788
12	60.0	60.72727272727273
13	64.0	64.57575757575758
14	66.0	65.5909090909091
15	66.0	66.47272727272727
16	68.0	67.35454545454544
17	68.0	68.23636363636362
18	68.0	68.6181818181818
19	68.0	69.24999999999997
20	70.0	69.69999999999997
21	70.0	70.64999999999998
22	70.0	71.59999999999998
23	74.0	73.21666666666664
24	76.0	74.8333333333333
25	76.0	75.74999999999997
26	76.0	76.99999999999997
27	78.0	77.99999999999997
28	78.0	77.99999999999997
29	78.0	77.99999999999997
30	80.0	79.99999999999997
31	80.0	79.99999999999997
32	80.0	80.99999999999997
33	82.0	81.99999999999997
34	82.0	81.99999999999997
35	82.0	81.99999999999997
36	82.0	81.99999999999997
37	84.0	83.99999999999997
38	84.0	83.99999999999997
39	86.0	85.99999999999997
40	86.0	85.99999999999997
41	88.0	87.99999999999997
42	88.0	87.99999999999997
43	88.0	87.99999999999997
44	88.0	87.99999999999997
45	88.0	87.99999999999997
46	88.0	87.99999999999997
47	88.0	87.99999999999997
48	88.0	87.99999999999997
49	88.0	87.99999999999997
50	88.0	87.99999999999997
