k	top_acc_perc__casmi	top_acc_perc__csi
1	23.076923076923077	29.88662448662449
2	43.07692307692308	46.311710511710515
3	46.15384615384615	52.48976714342568
4	56.92307692307692	59.276798134115204
5	63.07692307692307	62.21767527865089
6	64.61538461538461	64.26111652575067
7	67.6923076923077	65.57195704024973
8	69.23076923076923	69.02033743422415
9	70.76923076923077	70.93025628973702
10	70.76923076923077	72.32735463242938
11	72.3076923076923	73.72445297512174
12	75.38461538461539	75.75092194718472
13	76.92307692307693	77.77739091924772
14	76.92307692307693	78.26539835284918
15	76.92307692307693	78.75340578645064
16	78.46153846153847	80.01064398928285
17	80.0	81.31061723485013
18	80.0	81.99520586503277
19	80.0	82.42338423880517
20	80.0	82.75540876642371
21	80.0	83.08743329404226
22	80.0	83.4194578216608
23	83.07692307692308	83.75148234927934
24	83.07692307692308	84.0835068768979
25	83.07692307692308	84.55539154437659
26	83.07692307692308	85.02727621185528
27	83.07692307692308	85.49916087933397
28	86.15384615384616	87.35566093142805
29	86.15384615384616	87.67369944506058
30	87.6923076923077	87.99173795869312
31	87.6923076923077	88.30977647232565
32	89.23076923076924	88.62781498595818
33	89.23076923076924	88.94585349959071
34	89.23076923076924	89.26389201322324
35	90.76923076923077	89.58193052685579
36	90.76923076923077	89.76010890062818
37	90.76923076923077	89.93828727440057
38	90.76923076923077	90.11646564817295
39	90.76923076923077	90.24501623038206
40	92.3076923076923	91.91202835105273
41	92.3076923076923	92.04057893326184
42	92.3076923076923	92.16912951547096
43	92.3076923076923	92.29768009768009
44	92.3076923076923	92.42623067988919
45	92.3076923076923	92.5547812620983
46	92.3076923076923	92.68333184430743
47	92.3076923076923	92.81188242651655
48	92.3076923076923	92.94043300872565
49	92.3076923076923	93.03235355430473
50	92.3076923076923	93.1242740998838
