k	top_acc_perc__casmi	top_acc_perc__csi
1	22.0	23.88211382113821
2	41.0	41.76422764227642
3	47.0	48.14634146341463
4	52.0	52.195121951219505
5	61.0	61.44390243902439
6	63.0	63.69268292682926
7	65.0	64.94146341463414
8	66.0	66.19024390243902
9	67.0	68.4390243902439
10	72.0	71.48780487804878
11	73.0	73.70325203252033
12	74.0	74.91869918699187
13	74.0	75.27700348432056
14	75.0	76.13530778164925
15	76.0	76.99361207897793
16	77.0	77.35191637630662
17	78.0	78.54355400696863
18	78.0	78.93519163763065
19	78.0	79.32682926829267
20	79.0	79.57560975609755
21	81.0	79.82439024390243
22	81.0	80.07317073170731
23	81.0	80.12195121951218
24	81.0	80.17073170731706
25	81.0	80.21951219512194
26	81.0	80.26829268292681
27	81.0	80.31707317073169
28	82.0	81.36585365853657
29	82.0	81.41463414634144
30	84.0	83.46341463414632
31	85.0	84.84552845528452
32	86.0	85.22764227642273
33	86.0	85.60975609756093
34	86.0	85.65853658536581
35	86.0	85.70731707317069
36	86.0	85.75609756097556
37	86.0	85.80487804878044
38	86.0	86.35365853658531
39	87.0	86.90243902439019
40	87.0	86.95121951219507
41	87.0	86.99999999999994
42	87.0	86.99999999999994
43	88.0	87.99999999999994
44	88.0	87.99999999999994
45	88.0	87.99999999999994
46	88.0	87.99999999999994
47	88.0	87.99999999999994
48	88.0	87.99999999999994
49	88.0	87.99999999999994
50	88.0	87.99999999999994
