k	top_acc_perc__casmi	top_acc_perc__csi
1	22.0	22.5
2	38.0	39.333333333333336
3	47.0	46.66666666666667
4	52.0	52.5
5	57.99999999999999	58.00000000000001
6	61.0	61.00000000000001
7	64.0	64.0
8	65.0	65.0
9	65.0	65.16666666666667
10	66.0	66.33333333333334
11	69.0	69.66666666666667
12	72.0	72.0
13	72.0	72.33333333333333
14	75.0	74.66666666666666
15	75.0	75.33333333333333
16	77.0	77.5
17	79.0	79.0
18	79.0	79.5
19	80.0	80.0
20	80.0	80.0
21	81.0	81.0
22	81.0	81.0
23	83.0	83.0
24	83.0	83.0
25	83.0	83.0
26	83.0	83.0
27	83.0	83.0
28	84.0	84.0
29	84.0	84.0
30	84.0	84.0
31	85.0	85.33333333333333
32	86.0	85.66666666666666
33	86.0	85.99999999999999
34	86.0	85.99999999999999
35	86.0	85.99999999999999
36	86.0	85.99999999999999
37	86.0	85.99999999999999
38	86.0	85.99999999999999
39	86.0	85.99999999999999
40	86.0	85.99999999999999
41	86.0	86.14285714285712
42	86.0	86.28571428571426
43	86.0	86.4285714285714
44	87.0	86.57142857142854
45	87.0	86.71428571428568
46	88.0	87.85714285714282
47	88.0	87.99999999999996
48	88.0	87.99999999999996
49	88.0	87.99999999999996
50	88.0	87.99999999999996
